事故风险项,风险占比%,对应研究主题,研究篇数,研究占比%,缺口(风险-研究)pp,判定,风险数据来源
危化品（危险因素）,62.5,危化品,572,9.71,52.79,供给不足型错位,叶文表3：110/176
火灾（事故类型）,47.54,消防,317,5.38,42.16,供给不足型错位,合并库：87/183
爆炸（事故类型）,31.15,不单列（并入危化品/设备）,0,0.0,,不单列,合并库：57/183
仪器设备（危险因素）,21.59,设备,565,9.6,11.99,供给不足型错位,叶文表3：38/176
线路（危险因素）,9.09,电气,51,0.87,8.22,供给不足型错位,叶文表3：16/176
线路老化或短路（原因二级）,7.95,电气,51,0.87,7.08,供给不足型错位,叶文表4：14/176
违规操作（原因二级）,22.73,安全教育,1595,27.09,-4.36,关注冗余型错位,叶文表4：40/176
化学品储存不规范（原因二级）,13.07,危化品,572,9.71,3.36,供给不足型错位,叶文表4：23/176
生物因素（危险因素）,2.27,生物安全,321,5.45,-3.18,关注冗余型错位,叶文表3：4/176
设备老化故障（原因二级）,11.36,设备,565,9.6,1.76,匹配,叶文表4：20/176
